horizon,full_ic,train_ic,train_t,test_ic,n_months
5,0.016787118750707163,0.01825305177387458,1.8583145954044733,0.014813747373366418,61
10,0.02363586778751427,0.03203118586878472,2.3314130341625967,0.01233447806272712,61
20,0.02023422092068721,0.027631874347030978,1.663247214141449,0.010275841308301363,61
30,0.018065947885329423,0.02860372289348359,1.549767405392101,0.0033130628739135816,60
45,0.020951564409699017,0.042606926498577995,1.8421495288818877,-0.010629171969916175,59
60,0.01673773598353515,0.04549432876537044,1.6550970729361114,-0.025198961823307987,59
90,0.0258122577999291,0.05299992623904773,1.8696317178409436,-0.017440851080486913,57
120,0.03272113063682154,0.05564837950206045,1.8993163573147505,-0.005490950805243281,56
180,0.046671551539663375,0.06948708063209257,2.4944787036773075,0.0023080227488288816,53
252,0.0693354207068658,0.09494001036122413,3.539233712334698,0.005323946570969927,49
